name,number,lw_ratio,shape_index,distance,normalized_distance,hue,type
image-0-blob0,1,1.417456,0.968304,851,0.406481,79.482526,1
image-0-blob1,2,1.450502,1.069082,136,0.075463,83.65385,1
image-0-blob2,3,1.480042,1.3203,51,0.036111,93.528931,1
image-0-blob3,4,1.152653,1.647994,27,0,85.822468,0
image-1-blob0,5,2.018078,0.986509,994,0.492593,77.250627,1
image-1-blob1,6,1.730729,0.963844,951,0.472685,90.125144,1
image-1-blob2,7,2.189761,1.003299,901,0.449537,76.7284,1
image-1-blob3,8,6.382776,1.250852,379,0.143056,69.368597,1
image-1-blob4,9,1.397179,1.632169,131,0.028241,82.376743,0
image-2-blob0,10,2.03675,1.046859,738,0.45,79.509473,1
image-2-blob1,11,2.470078,1.037651,651,0.409722,81.278114,1
image-2-blob2,12,9.083915,1.733517,721,0.44213,80.949316,1
image-3-blob1,13,1.101424,1.646541,55,0,82.218329,0
image-3-blob3,14,1.669771,1.022248,721,0.308333,75.955229,1
image-3-blob4,15,2.310147,1.034261,759,0.325926,76.376127,1
image-4-blob0,16,4.391748,1.209648,1065,0.576389,80.537302,1
image-4-blob1,17,1.882797,1.192668,1056,0.572222,83.752633,1
image-4-blob2,18,1.721667,1.066757,1031,0.560648,80.025186,1
image-4-blob3,19,1.545619,1.009032,511,0.319907,73.169567,1
image-4-blob4,20,1.986598,1.255041,339,0.240278,85.366608,1
image-4-blob5,21,2.469659,1.081434,276,0.211111,70.53527,1
image-4-blob6,22,2.457168,1.413265,269,0.20787,87.708646,1
image-4-blob7,23,2.112817,2.010492,183,0.168056,88.940108,1
image-5-blob0,24,4.931973,1.171748,728,0.423148,77.851376,1
image-5-blob1,25,2.480839,1.148063,617,0.371759,81.467489,1
image-5-blob2,26,4.996803,1.368735,593,0.360648,81.926477,1
image-5-blob3,27,1.194548,1.089375,557,0.343981,77.996626,1
image-5-blob4,28,5.09917,1.224782,525,0.329167,82.372191,1
image-5-blob6,29,1.426838,1.831715,185,0.000463,85.845991,1
image-5-blob7,30,1.181712,1.610943,186,0,86.175695,0
image-6-blob0,31,2.635029,1.187283,939,0.543981,77.772522,1
image-6-blob1,32,2.88326,1.073801,851,0.503241,80.722041,1
image-6-blob2,33,1.588793,1.012525,831,0.493981,84.027042,1
image-6-blob3,34,2.366725,1.141936,805,0.481944,76.997213,1
image-6-blob4,35,1.648105,1.59719,827,0.49213,84.144059,1
image-6-blob7,36,3.390258,1.05832,721,0.443056,76.804567,1
image-6-blob8,37,6.812863,1.36778,704,0.435185,75.521852,1
image-6-blob9,38,1.283413,1.031808,699,0.43287,75.217773,1
image-6-blob10,39,1.228187,1.050774,725,0.444907,86.034279,1
image-6-blob11,40,5.038233,1.376282,735,0.449537,78.825329,1
image-6-blob14,41,2.953257,1.03077,664,0.416667,78.216995,1
image-6-blob15,42,2.298499,1.070467,659,0.414352,76.807244,1
image-6-blob16,43,1.710634,0.974047,637,0.404167,76.914101,1
image-6-blob17,44,1.405436,1.014671,40,0.090741,77.878927,1
image-6-blob18,45,5.419635,1.330968,91,0.06713,93.227896,1
image-6-blob19,46,1.696155,1.012,104,0.061111,74.920398,1
image-6-blob20,47,1.404849,1.048271,172,0.02963,104.589182,1
image-6-blob22,48,1.278583,1.462219,236,0,84.487029,0
image-7-blob1,49,3.42895,1.085387,765,0.517593,78.38904,1
image-7-blob2,50,3.041293,1.084113,731,0.501852,74.876095,1
image-7-blob3,51,2.432888,1.112648,718,0.495833,88.301459,1
image-7-blob5,52,1.53026,0.969725,615,0.448148,81.650311,1
image-7-blob7,53,3.113982,1.391204,294,0.299537,80.178371,1
image-7-blob8,54,2.90918,1.449362,207,0.259259,76.562972,1
image-7-blob9,55,2.336587,1.047345,205,0.258333,82.66018,1
image-7-blob10,56,2.758395,1.09384,171,0.084259,95.23932,1
image-7-blob11,57,2.210596,1.041363,251,0.047222,107.903213,1
image-7-blob13,58,1.045523,1.579546,353,0,84.350195,0
image-8-blob0,59,1.163396,1.011177,755,0.481944,82.000072,1
image-8-blob1,60,2.576344,1.049234,726,0.468519,72.604914,1
image-8-blob3,61,2.619373,1.082949,626,0.422222,81.090601,1
image-8-blob4,62,2.359971,1.035587,583,0.402315,80.13074,1
image-8-blob5,63,2.025989,1.042146,548,0.386111,85.072083,1
image-8-blob6,64,1.130147,1.031625,480,0.35463,83.040042,1
image-8-blob7,65,2.089647,1.102282,420,0.326852,80.15166,1
image-8-blob8,66,1.699663,0.995544,351,0.294907,85.660139,1
image-8-blob12,67,1.224088,1.589037,286,0,84.222736,0
image-9-blob0,68,1.984644,1.000631,108,0.11713,70.92434,1
image-10-blob2,69,1.753592,1.054151,538,0.247222,78.018884,1
image-10-blob4,70,1.26338,1.914411,4,0,84.492559,0
image-11-blob5,71,1.193415,1.634059,150,0,83.849611,0
image-12-blob0,72,2.777695,1.080501,983,0.434722,76.22966,1
image-12-blob1,73,3.301959,1.235786,1000,0.442593,77.003371,1
image-12-blob3,74,1.610659,1.018442,883,0.388426,77.859522,1
image-12-blob4,75,1.900148,1.514902,46,0.041667,78.370814,1
image-12-blob5,76,1.477147,1.692904,57,0.046759,81.040381,0
image-13-blob0,77,3.93542,1.18967,1026,0.598611,84.637903,1
image-13-blob2,78,4.312775,1.154987,942,0.559722,82.50597,1
image-13-blob4,79,1.642391,1.036486,525,0.366667,76.955503,1
image-13-blob5,80,1.861639,1.001792,498,0.354167,77.789748,1
image-13-blob6,81,4.724545,1.484732,429,0.322222,82.527708,1
image-13-blob8,82,1.269827,1.652936,223,0.02037,86.513213,0
image-14-blob2,83,1.541788,1.009657,608,0.421296,84.902745,1
image-14-blob4,84,1.502299,1.005781,427,0.3375,75.904185,1
image-14-blob5,85,1.416013,1.030742,389,0.319907,87.08099,1
image-14-blob6,86,2.629449,1.035408,358,0.305556,77.827264,1
image-14-blob7,87,1.26751,1.029451,330,0.292593,81.001908,1
image-14-blob8,88,2.35218,1.011301,119,0.194907,104.156129,1
image-14-blob10,89,1.379981,1.814338,302,0,87.112276,0
image-15-blob1,90,3.775208,1.235029,394,0.318981,80.1194,1
image-15-blob2,91,1.194366,1.602794,295,0,85.749008,0
image-16-blob1,92,2.836363,1.178088,146,0.116204,88.821023,1
image-16-blob2,93,1.809556,1.775818,124,0.106019,88.909457,1
image-16-blob4,94,1.169811,1.550885,105,0,87.935797,0
image-17-blob0,95,1.530904,0.961185,967,0.578241,78.202825,1
image-17-blob1,96,3.43524,1.059549,944,0.567593,77.234582,1
image-17-blob3,97,1.993697,1.069831,855,0.526389,88.794017,1
image-17-blob4,98,2.101654,1.048633,164,0.206481,78.452427,1
image-17-blob5,99,1.219423,1.001438,131,0.191204,79.208541,1
image-17-blob6,100,2.495086,1.558568,43,0.150463,81.805851,1
image-17-blob7,101,1.478062,0.979055,33,0.115278,160.540241,1
image-18-blob0,102,2.075377,1.016323,869,0.364815,83.011383,1
image-18-blob1,103,2.452746,1.205279,848,0.355093,89.46579,1
image-18-blob2,104,3.839854,1.371892,534,0.209722,81.127243,1
image-18-blob6,105,1.315468,1.72771,142,0.103241,81.416413,0
image-19-blob0,106,1.231088,1.050427,958,0.537963,82.801186,1
image-19-blob1,107,5.59682,1.290967,916,0.518519,82.875028,1
image-19-blob2,108,1.700721,1.053677,846,0.486111,82.026751,1
image-19-blob3,109,2.86772,1.092425,824,0.475926,80.528743,1
image-19-blob4,110,2.275498,1.029043,812,0.47037,84.125807,1
image-19-blob5,111,1.848842,1.074993,400,0.27963,80.360324,1
image-19-blob6,112,1.932587,1.023925,307,0.236574,80.961172,1
image-19-blob7,113,1.44756,1.009073,292,0.22963,86.090394,1
image-19-blob8,114,1.613363,1.246827,287,0.227315,79.911253,1
image-19-blob9,115,1.40015,0.982636,152,0.164815,87.964595,1
image-20-blob0,116,6.656719,1.227934,1072,0.592593,93.583354,1
image-20-blob1,117,2.372391,1.668666,954,0.537963,87.189102,1
image-20-blob2,118,1.198136,1.266928,374,0.269444,82.331256,1
image-20-blob5,119,2.07665,1.076819,308,0.238889,95.862411,1
image-20-blob6,120,3.969343,1.173459,291,0.231019,81.6873,1
image-20-blob7,121,3.389979,1.552151,280,0.225926,89.769584,1
image-20-blob8,122,1.15607,0.986927,163,0.171759,87.43669,1
image-20-blob9,123,1.599587,1.79795,208,0,87.023431,0
image-21-blob0,124,1.644789,1.568578,98,0.033333,83.595853,0
image-21-blob2,125,1.310992,0.958154,310,0.222222,91.755683,1
image-21-blob6,126,1.397621,2.218578,615,0.363426,87.1619,1
image-22-blob1,127,1.195619,1.605081,25,0,89.561723,0
image-23-blob1,128,1.524175,1.010988,1069,0.516204,81.503115,1
image-23-blob3,129,1.299211,2.143149,874,0.425926,84.95445,1
image-23-blob7,130,3.281241,1.143066,704,0.30463,81.159685,1
image-23-blob8,131,2.663887,1.632811,638,0.274074,85.156683,1
image-24-blob0,132,1.075138,0.952786,996,0.4,98.10519,1
image-24-blob1,133,1.675221,1.049111,57,0.034722,82.705443,1
image-24-blob2,134,3.680084,1.530657,76,0.025926,85.277344,1
image-24-blob3,135,2.924052,1.220335,141,0.126389,86.476722,1
image-24-blob5,136,1.80598,1.014824,209,0.15787,83.680411,1
image-24-blob8,137,1.92967,1.066305,499,0.29213,84.845564,1
image-24-blob9,138,7.016537,1.283982,587,0.33287,86.84125,1
image-24-blob10,139,2.347233,1.812383,527,0.305093,89.179438,1
image-24-blob11,140,1.902629,1.011306,619,0.347685,80.094252,1
image-25-blob0,141,1.723773,2.046087,78,0.014815,85.782011,0
image-25-blob2,142,1.88823,1.016108,510,0.287037,83.629657,1
image-25-blob4,143,4.433624,1.327427,591,0.324537,80.671427,1
image-25-blob5,144,2.927048,2.109803,608,0.332407,83.925006,1
image-26-blob0,145,1.827646,1.006288,1042,0.53287,79.230992,1
image-26-blob1,146,6.077403,1.365217,916,0.474537,77.843339,1
image-26-blob2,147,2.031814,1.009661,843,0.440741,78.403474,1
image-26-blob3,148,1.855292,0.98566,793,0.417593,74.431014,1
image-26-blob5,149,2.655786,1.087245,713,0.380556,73.656107,1
image-26-blob7,150,1.71132,1.001303,215,0.15,73.116705,1
image-26-blob8,151,2.366606,1.036182,167,0.127778,76.443513,1
image-26-blob9,152,5.110324,1.13601,108,0.100463,81.452917,1
image-26-blob10,153,3.256449,1.053622,93,0.093519,77.968947,1
image-27-blob0,154,1.87065,1.005751,973,0.444907,91.903563,1
image-28-blob0,155,1.744398,1.012331,747,0.459722,78.49766,1
image-28-blob1,156,1.875153,2.011491,693,0.434722,86.17593,1
image-29-blob9,157,1.196345,1.263465,21,0,85.490254,0
image-29-blob11,158,1.676926,1.012039,603,0.288889,73.613219,1
image-29-blob13,159,1.341176,0.981824,637,0.30463,77.805492,1
image-29-blob14,160,8.758722,1.472786,691,0.32963,81.660148,1
image-29-blob15,161,1.640231,1.028766,747,0.355556,94.749324,1
image-29-blob16,162,5.872557,1.188579,846,0.401389,71.379274,1
image-29-blob17,163,2.298531,1.631547,805,0.382407,80.728321,1
image-29-blob18,164,1.99057,1.791042,833,0.39537,85.585837,1
image-30-blob0,165,3.107428,1.219307,956,0.408796,78.033954,1
image-30-blob1,166,1.979921,1.032896,905,0.385185,74.492926,1
image-30-blob2,167,2.668591,1.073831,842,0.356019,81.475217,1
image-30-blob3,168,1.015316,0.971668,430,0.165278,105.887174,1
image-30-blob5,169,2.616799,1.433147,352,0.129167,105.63966,1
image-30-blob6,170,6.692983,1.670781,195,0.056481,96.603469,1
image-30-blob8,171,1.798086,0.98778,573,0.299074,69.865227,1
image-30-blob9,172,1.482267,1.373371,73,0,86.383812,0
image-31-blob0,173,1.575253,1.021574,829,0.430556,76.0261,1
image-31-blob2,174,1.720923,1.011549,362,0.214352,104.299033,1
image-31-blob3,175,1.368851,1.047824,281,0.176852,103.817068,1
image-31-blob4,176,1.385292,1.005958,68,0.015278,95.723275,1
image-31-blob5,177,1.334266,1.037943,568,0.216204,78.777602,1
image-31-blob6,178,1.158672,1.04649,622,0.241204,75.215362,1
image-31-blob8,179,1.88732,1.746367,101,0,87.524893,0
image-32-blob0,180,2.646374,1.101456,938,0.436574,75.114616,1
image-32-blob1,181,1.926327,1.677134,892,0.415278,83.02225,1
image-33-blob0,182,1.254307,0.987929,824,0.347222,73.971466,1
image-33-blob1,183,2.189633,2.134009,863,0.365278,82.804438,1
image-33-blob3,184,1.336292,1.556513,74,0,86.072422,0
image-34-blob0,185,2.315571,1.007983,834,0.418519,68.596581,1
image-34-blob1,186,1.204088,1.032588,816,0.410185,70.154433,1
image-34-blob2,187,1.323877,1.139698,838,0.42037,82.923502,1
image-34-blob3,188,2.020212,1.102701,803,0.404167,69.218272,1
image-34-blob5,189,1.22571,1.001253,745,0.377315,70.776954,1
