name,number,lw_ratio,shape_index,distance,normalized_distance,hue,saturation_mean,in_phase,cb_mean,compactness,elongation,eccentricity,roundness,solidity,type,actual
image-0-blob0,0,0.14533895,0.326773075,0.793843284,0.67904099,0.495094097,0.472680376,0.211894174,0.910507137,0.964540796,0.385732815,0.054283808,0.957899574,0.991994286,1,1
image-0-blob1,0,0.14872731,0.360782626,0.126865672,0.126063418,0.521077141,0.319777449,0.265001307,0.918854991,0.770550491,0.278699931,0.078203361,0.874374101,0.865923472,1,1
image-0-blob2,0,0.15175623,0.445561047,0.047574627,0.060324826,0.582588702,0.439196408,0.438957273,0.918899133,0.465511855,0.338629988,0.033580081,0.629817112,0.635302794,1,1
image-0-blob3,0,0.118187421,0.556148117,0.025186567,0,0.534585396,0.709926932,0.697890862,0.923128416,0.257491598,0.302975915,0.018724935,0.713505558,0.667617259,0,0
image-1-blob0,1,0.206923776,0.332916791,0.927238806,0.822892498,0.481191671,0.445238922,0.119677007,0.926532264,0.925053077,0.20311284,0.105244431,0.894353829,0.986329899,1,1
image-1-blob1,1,0.177460494,0.325268144,0.887126866,0.789636504,0.561386626,0.391087106,0.357669249,0.889886481,0.974556262,0.38668149,0.07533992,0.95709882,0.999638195,1,1
image-1-blob2,1,0.224527373,0.338582882,0.840485075,0.750966744,0.477938735,0.411306004,0.15452625,0.928323121,0.890524162,0.250574502,0.10940628,0.85566204,0.982206234,1,1
image-1-blob3,1,0.654458474,0.422124507,0.353544776,0.238979118,0.432094764,0.671809844,0.262244886,0.963167288,0.53179686,0.830661479,0.493820428,0.412090607,0.801689878,1,0
image-1-blob4,1,0.143259912,0.550807629,0.122201493,0.047177108,0.513122087,0.747086815,0.664974306,0.924838354,0.264755756,0.326837685,0.016418666,0.74168661,0.704587448,0,0
image-2-blob1,2,0.112934582,0.555657738,0.05130597,0,0.51213533,0.749626135,0.79942811,0.927636605,0.258149891,0.250022622,0.028686905,0.748301932,0.732359384,0,0
image-2-blob3,2,0.171210101,0.344977555,0.672574627,0.515081206,0.473122682,0.517764752,0.174510429,0.928659036,0.853580616,0.301102163,0.056151092,0.851168587,0.945489325,1,1
image-2-blob4,2,0.236871086,0.349031552,0.708022388,0.544470224,0.475744438,0.321892188,0.142200375,0.932188432,0.831204094,0.176460196,0.1444893,0.798162318,0.932536685,1,1
image-3-blob0,3,0.450308265,0.408219559,0.993470149,0.96287703,0.501664263,0.487511066,0.19482158,0.922882191,0.576631504,0.67245594,0.291988317,0.503494019,0.902689828,1,1
image-3-blob1,3,0.193052801,0.402489324,0.985074627,0.955916473,0.52169246,0.543381393,0.182563833,0.93123733,0.596473986,0.255015359,0.068972602,0.605800844,0.676539761,1,1
image-3-blob2,3,0.176531254,0.359998116,0.961753731,0.936581593,0.498474315,0.328976168,0.29079288,0.935205734,0.774415627,0.27102936,0.073031831,0.848176599,0.861396371,1,1
image-3-blob3,3,0.158480139,0.340517786,0.476679104,0.534416087,0.45577088,0.638283089,0.421869136,0.954294488,0.879125889,0.226499746,0.055967703,0.914626466,0.966607152,1,1
image-3-blob4,3,0.203695969,0.423538341,0.316231343,0.401392111,0.53174586,0.387806148,0.463764107,0.920171696,0.527483814,0.195940856,0.085844252,0.631264579,0.677520563,1,1
image-3-blob5,3,0.253226685,0.364951281,0.257462687,0.352668213,0.439361932,0.788137892,0.221498747,0.960988812,0.750428663,0.472062257,0.153496648,0.763048684,0.874523918,1,1
image-3-blob6,3,0.25194591,0.476933951,0.250932836,0.347254447,0.546334336,0.548326071,0.468029121,0.908643994,0.391612128,0.343991106,0.156852219,0.593803064,0.59553026,1,1
image-3-blob7,3,0.216637868,0.678480077,0.170708955,0.280742459,0.554005072,0.635811669,0.560048586,0.920128972,0.135177648,0.389795377,0.10013449,0.499947659,0.471076475,0,1
image-4-blob0,4,0.505700305,0.395429564,0.679104478,0.706883217,0.484933719,0.420217947,0.223535742,0.938928287,0.622116269,0.113463035,0.314189075,0.588026703,0.946081545,1,1
image-4-blob1,4,0.254373059,0.387436456,0.575559701,0.62103635,0.507458372,0.384652665,0.282363999,0.9212414,0.652857331,0.501567256,0.167101952,0.675040949,0.837162896,1,1
image-4-blob2,4,0.512347612,0.461906402,0.553171642,0.602474865,0.510317394,0.582005306,0.253808127,0.945775469,0.425132626,0.200814128,0.251020456,0.407788375,0.600639072,1,1
image-4-blob3,4,0.12248306,0.367630944,0.519589552,0.574632637,0.485838476,0.337377068,0.23119281,0.935299317,0.737853966,0.267148416,0.032012874,0.913560957,0.908097184,1,1
image-4-blob4,4,0.522843828,0.413326834,0.489738806,0.549883991,0.513093729,0.441347385,0.225925546,0.932376862,0.559637272,0.271417454,0.301146548,0.52311382,0.873119946,1,1
