name,number,lw_ratio,shape_index,distance,normalized_distance,hue,saturation_mean,in_phase,cb_mean,compactness,elongation,eccentricity,roundness,solidity,type,actual
image-0-blob0,1,1.382132,0.940348,851,0.406019,78.575204,113.389495,0.015228,122.666667,0.888203,1.241379,1.260599,0.924561,0.98951,1,1
image-0-blob1,2,1.150842,0.966512,137,0.075463,81.93735,73.558515,0.016764,123.737564,0.840766,1.037736,1.119223,0.94231,0.972979,1,1
image-0-blob3,3,1.296697,1.30038,53,0.036574,92.21844,103.438004,0.026822,123.38031,0.464461,1.065934,1.092622,0.700103,0.796821,1,1
image-0-blob4,4,1.148903,1.643217,26,0,85.682822,170.806593,0.04291,123.71657,0.290871,1.030558,1.098785,0.752097,0.799523,0,0
image-1-blob0,5,2.234796,0.987583,994,0.49213,76.986361,106.107263,0.008999,124.611221,0.805272,0.716981,1.637495,0.862661,0.978275,1,1
image-1-blob1,6,1.684373,0.971647,951,0.472222,89.067415,94.203406,0.023365,119.817355,0.831903,1.25,1.371361,0.913744,0.976087,1,1
image-1-blob2,7,2.044058,0.986151,901,0.449074,75.39653,100.204448,0.013111,125.340278,0.807613,1,1.470798,0.869036,0.97837,1,1
image-1-blob4,8,1.298469,1.566468,134,0.030093,82.185489,178.448011,0.040826,124.032797,0.320071,1.108108,1.077359,0.750166,0.817615,0,0
image-2-blob1,9,1.174059,1.548868,55,0,81.980911,179.951678,0.049176,124.334464,0.327387,0.880929,1.141432,0.78028,0.83937,0,0
image-2-blob3,10,2.829153,1.27943,734,0.314352,78.337308,98.86873,0.014674,126.905545,0.479796,0.904762,1.73707,0.646999,0.80119,1,1
image-3-blob0,11,4.337438,1.159513,1064,0.576389,80.113699,116.038324,0.012345,123.881746,0.584169,2.057143,2.414095,0.62832,0.958682,1,1
image-3-blob1,12,2.156402,1.171197,1054,0.571759,82.144944,121.781706,0.015661,125.320977,0.572572,1.034483,1.457089,0.679703,0.815774,1,1
image-3-blob2,13,1.506131,1.002924,1031,0.561111,77.845868,78.202177,0.021146,125.917292,0.780825,0.853333,1.332469,0.900237,0.967528,1,1
image-3-blob3,14,1.552468,1.007412,511,0.32037,72.958473,152.886975,0.025471,128.058373,0.773883,0.810526,1.268543,0.887049,0.96099,1,1
image-3-blob4,15,1.999684,1.229338,339,0.240741,84.594045,93.81984,0.029083,123.561191,0.519694,0.737864,1.440372,0.703413,0.811438,1,1
image-3-blob5,16,2.409085,1.398363,269,0.208333,87.093165,131.66458,0.029875,121.949528,0.401652,1.140351,1.773175,0.676248,0.757617,1,1
image-3-blob6,17,2.111094,1.989432,183,0.168519,88.649763,152.832501,0.03441,123.301743,0.198441,1.270588,1.496606,0.614741,0.695891,1,1
image-4-blob0,18,4.662057,1.138531,727,0.423148,77.561101,101.313469,0.01605,126.234608,0.605899,0.523438,2.588093,0.681284,0.963715,1,1
image-4-blob1,19,2.161109,1.12006,618,0.372685,80.028105,89.196971,0.019422,123.982915,0.626047,1.559524,1.667725,0.759675,0.882285,1,1
image-4-blob2,20,5.402829,1.413206,594,0.361574,81.801636,137.557234,0.017305,126.986374,0.393259,0.744186,2.319709,0.514865,0.725196,1,1
image-4-blob3,21,1.17983,0.986374,555,0.343519,77.692619,83.731861,0.015865,125.889661,0.807247,0.934783,1.096767,0.931859,0.968152,1,1
image-4-blob4,22,5.46819,1.205243,524,0.329167,82.289366,105.674187,0.01561,125.248545,0.54068,0.932584,2.549276,0.616869,0.921628,1,1
image-4-blob6,23,1.394365,1.794822,184,0.001389,85.39992,198.275918,0.061312,124.526774,0.243808,0.96875,1.133236,0.584162,0.656224,0,0
image-4-blob8,24,1.208513,1.602603,187,0,86.051726,189.285065,0.04346,122.483469,0.3058,1.146101,1.119128,0.741408,0.802596,0,0
image-5-blob0,25,2.457922,1.029622,940,0.546296,76.596667,109.971054,0.014108,125.520346,0.740856,0.628571,1.759786,0.818159,0.968485,1,1
image-5-blob3,26,2.876777,1.052845,852,0.505556,80.485437,133.748486,0.020883,122.592747,0.708534,1.666667,1.840878,0.794102,0.965887,1,1
image-5-blob4,27,1.61703,0.994069,831,0.495833,83.236929,108.088131,0.017304,121.79628,0.794798,1.371429,1.371645,0.907841,0.96422,1,1
image-5-blob5,28,2.299198,1.134344,806,0.484259,76.339322,131.163084,0.017273,126.242831,0.61038,0.915789,1.68248,0.766274,0.893014,1,1
image-5-blob6,29,1.631753,1.573193,827,0.493981,83.815593,139.176706,0.022358,124.096981,0.317341,1.11236,1.221558,0.594901,0.74343,1,1
image-5-blob8,30,1.894478,1.031021,725,0.446759,77.588144,135.660508,0.01495,124.283976,0.738847,0.852941,1.498787,0.804527,0.935179,1,1
image-5-blob9,31,3.84529,1.075395,723,0.445833,77.133366,130.414116,0.012457,125.52944,0.679132,0.722222,2.267849,0.734595,0.951661,1,1
image-5-blob10,32,5.989259,1.337802,704,0.437037,74.737856,121.108415,0.017256,125.396377,0.43884,2.794872,3.394873,0.568615,0.847201,1,1
image-5-blob11,33,1.339894,1.006759,699,0.434722,74.349868,117.702578,0.014326,124.790476,0.774888,1.060606,1.153081,0.858726,0.961894,1,1
image-5-blob12,34,1.240666,0.999356,726,0.447222,85.539928,69.406165,0.021701,124.396615,0.786411,1.092784,1.202788,0.916482,0.961764,1,1
image-5-blob13,35,4.650816,1.32519,734,0.450926,78.454372,126.14193,0.025124,125.895088,0.447233,0.438596,2.488225,0.585486,0.825469,1,1
image-5-blob16,36,2.817589,1.043752,664,0.418519,77.403222,122.793679,0.013512,124.172894,0.720934,1.114286,1.774158,0.785311,0.958075,1,1
image-5-blob17,37,1.799754,1.020099,659,0.416204,74.841024,87.099831,0.013378,126.173626,0.754754,1.114286,1.433166,0.84983,0.961924,1,1
image-5-blob18,38,1.706015,0.966436,638,0.406481,76.338984,155.446976,0.016016,123.450231,0.840899,0.888889,1.356716,0.911017,0.979302,1,1
image-5-blob19,39,1.511428,0.967756,38,0.093519,76.923532,87.178907,0.018048,125.234287,0.838606,0.818182,1.277371,0.9202,0.978253,1,1
image-5-blob20,40,5.824252,1.280381,91,0.068981,92.342295,97.189429,0.010228,125.353801,0.479084,2.111111,3.169861,0.560558,0.850179,1,1
image-5-blob21,41,2.234988,1.009304,104,0.062963,74.142828,92.053556,0.014061,126.351587,0.770984,1.607143,1.708937,0.835397,0.973116,1,1
image-5-blob22,42,1.425649,1.042383,172,0.031481,103.615307,102.416381,0.013998,123.198854,0.722828,0.815789,1.283889,0.876576,0.956147,1,1
image-5-blob24,43,1.266048,1.429405,240,0,84.295811,169.87866,0.058321,124.549995,0.384396,1.086235,1.064255,0.829452,0.87196,0,0
image-6-blob0,44,3.443323,1.071541,775,0.524537,67.980698,111.053134,0.022722,128.801619,0.684025,0.487179,2.34969,0.712649,0.96885,1,1
image-6-blob1,45,5.082782,1.146969,771,0.522685,77.617188,69.267733,0.012368,126.485195,0.597017,0.636364,2.747738,0.658645,0.94331,1,1
image-6-blob2,46,1.398076,1.161947,730,0.503704,74.874462,99.405672,0.042185,128.286686,0.581725,0.857143,1.22412,0.700506,0.834692,1,1
image-6-blob3,47,2.144381,1.064442,718,0.498148,86.53203,51.687869,0.021291,124.667854,0.69318,1.467532,1.559231,0.807927,0.919128,1,1
image-6-blob5,48,1.532341,0.972224,615,0.450463,80.59305,88.460852,0.01562,123.309387,0.830917,1.241379,1.306721,0.895422,0.974654,1,1
image-6-blob6,49,2.954473,1.073133,360,0.332407,74.152124,100.620896,0.015341,126.249126,0.681998,0.590909,1.915431,0.736454,0.934028,1,1
image-6-blob7,50,3.170995,1.224824,293,0.301389,79.068593,118.023525,0.033862,125.146426,0.523531,1.488636,2.005562,0.712323,0.869967,1,1
image-6-blob8,51,2.120827,1.125877,207,0.261574,72.679191,138.235642,0.019946,127.303598,0.619595,0.792208,1.69243,0.767587,0.862331,1,1
image-6-blob9,52,2.289108,1.035908,205,0.260648,82.16505,75.593103,0.018461,124.48726,0.731893,1.126316,1.645064,0.833667,0.952648,1,1
image-6-blob10,53,2.507173,1.053332,120,0.110185,75.906077,26.975806,0.008273,126.805195,0.707879,0.628571,1.869666,0.778032,0.955502,1,1
image-6-blob11,54,2.498201,1.072126,170,0.087037,93.292022,88.461378,0.011919,124.24898,0.68328,1.4,1.772726,0.775816,0.931159,1,1
image-6-blob12,55,2.228912,1.061505,250,0.05,104.146942,77.880597,0.019492,121.524374,0.697021,0.637681,1.595351,0.827438,0.941705,1,1
image-6-blob14,56,1.079552,1.566887,358,0,84.12788,174.0818,0.045238,123.769566,0.3199,1.038393,1.052143,0.799334,0.841803,0,0
image-7-blob0,57,1.148841,0.982334,755,0.482407,81.283199,114.238193,0.017775,122.157895,0.813901,0.940594,1.081238,0.925728,0.970353,1,1
image-7-blob1,58,2.992306,1.072063,724,0.468056,72.042314,99.949451,0.012861,127.363148,0.68336,0.532258,2.012443,0.770258,0.949668,1,1
image-7-blob2,59,2.697476,1.03915,683,0.449074,75.525721,104.783352,0.013653,124.725427,0.727333,0.615385,1.866165,0.77727,0.965101,1,1
image-7-blob3,60,2.586824,1.068616,625,0.422222,80.69036,91.637827,0.018816,124.784769,0.687775,1.024691,1.849265,0.801718,0.950641,1,1
image-7-blob4,61,2.258126,1.017175,583,0.402778,79.706115,123.046154,0.016831,123.430396,0.759099,1,1.681206,0.852967,0.968714,1,1
image-7-blob5,62,2.057074,1.005509,548,0.386574,84.208726,66.981965,0.021729,124.020471,0.776816,0.85,1.509787,0.875255,0.975855,1,1
image-7-blob6,63,1.115652,1.030603,480,0.355093,82.420809,149.929024,0.018629,120.548819,0.739447,1,1.074178,0.875061,0.943851,1,1
image-7-blob7,64,2.022636,1.088684,421,0.327778,79.718125,127.343553,0.021229,123.441955,0.662653,1.53913,1.649733,0.835137,0.926017,1,1
image-7-blob8,65,1.762737,0.983951,352,0.295833,85.104738,127.400869,0.021724,120.237901,0.811228,1.144737,1.428002,0.905158,0.97913,1,1
image-7-blob11,66,1.215882,1.579209,287,0,84.116565,179.714307,0.05503,123.808403,0.314927,1.141618,1.149568,0.792871,0.839494,0,0
image-8-blob0,67,2.079225,0.987827,108,0.11713,70.243546,154.030747,0.012536,128.826923,0.804875,1.130435,1.480784,0.87682,0.975871,1,0
image-9-blob1,68,1.370289,1.045149,477,0.218981,71.612051,60.519397,0.0125,127.52549,0.719007,1.133333,1.25636,0.822945,0.917271,1,1
image-9-blob2,69,1.596088,0.992791,538,0.247222,76.603908,77.202086,0.014875,125.173742,0.796846,0.90566,1.357581,0.886442,0.962177,1,1
image-9-blob4,70,1.257915,1.888184,4,0,84.411528,170.920165,0.04974,123.324155,0.220293,1.080623,1.056596,0.723603,0.79444,0,0
image-10-blob4,71,1.177811,1.611713,150,0,83.736052,169.448857,0.053036,123.485745,0.302353,1.043171,1.1524,0.803471,0.859612,0,0
image-11-blob0,72,2.291193,1.050765,979,0.43287,74.398119,84.66023,0.012867,127.107182,0.711342,1.122807,1.709164,0.830168,0.948015,1,1
image-11-blob1,73,3.549556,1.10449,997,0.441204,75.973531,89.999291,0.016108,126.311035,0.643822,0.535354,2.123144,0.725971,0.921033,1,1
image-11-blob2,74,1.61179,0.974586,926,0.408333,73.404034,98.067657,0.010952,125.612179,0.826893,1.083333,1.252277,0.878472,0.973735,1,1
image-11-blob3,75,1.581668,0.962106,883,0.388426,77.254803,130.335453,0.014435,123.2066,0.848484,1.243902,1.310745,0.907564,0.981363,1,1
image-11-blob4,76,1.276228,1.610978,36,0.037037,79.042449,207.27492,0.063905,128.70674,0.302629,0.930818,1.159215,0.55264,0.668728,0,0
image-11-blob5,77,1.470203,1.688775,58,0.047222,80.909481,169.410661,0.054646,125.583237,0.275389,1.124872,1.117121,0.751615,0.83096,0,0
image-12-blob0,78,2.423631,1.035852,1049,0.606481,74.476447,60.287706,0.020369,126.771739,0.731972,0.638889,1.787808,0.774407,0.953914,1,1
