name,number,lw_ratio,shape_index,distance,normalized_distance,hue,in_phase,type
image-0-blob0,1,1.417456,0.968304,851,0.406481,79.482526,0.013042,1
image-0-blob1,2,1.450502,1.069082,136,0.075463,83.65385,0.016311,1
image-0-blob2,3,1.480042,1.3203,51,0.036111,93.528931,0.027019,1
image-0-blob3,4,1.152653,1.647994,27,0,85.822468,0.042956,0
image-1-blob0,5,2.018078,0.986509,994,0.492593,77.250627,0.007366,1
image-1-blob1,6,1.730729,0.963844,951,0.472685,90.125144,0.022015,1
image-1-blob2,7,2.189761,1.003299,901,0.449537,76.7284,0.009511,1
image-1-blob3,8,6.382776,1.250852,379,0.143056,69.368597,0.016142,1
image-1-blob4,9,1.397179,1.632169,131,0.028241,82.376743,0.04093,0
image-2-blob0,10,2.03675,1.046859,738,0.45,79.509473,0.01532,1
image-2-blob1,11,2.470078,1.037651,651,0.409722,81.278114,0.012768,1
image-2-blob2,12,9.083915,1.733517,721,0.44213,80.949316,0.020409,1
image-3-blob1,13,1.101424,1.646541,55,0,82.218329,0.049206,0
image-3-blob3,14,1.669771,1.022248,721,0.308333,75.955229,0.010741,1
image-3-blob4,15,2.310147,1.034261,759,0.325926,76.376127,0.008753,1
image-4-blob0,16,4.391748,1.209648,1065,0.576389,80.537302,0.011992,1
image-4-blob1,17,1.882797,1.192668,1056,0.572222,83.752633,0.011237,1
image-4-blob2,18,1.721667,1.066757,1031,0.560648,80.025186,0.017899,1
image-4-blob3,19,1.545619,1.009032,511,0.319907,73.169567,0.025967,1
image-4-blob4,20,1.986598,1.255041,339,0.240278,85.366608,0.028545,1
image-4-blob5,21,2.469659,1.081434,276,0.211111,70.53527,0.013634,1
image-4-blob6,22,2.457168,1.413265,269,0.20787,87.708646,0.028808,1
image-4-blob7,23,2.112817,2.010492,183,0.168056,88.940108,0.034472,1
image-5-blob0,24,4.931973,1.171748,728,0.423148,77.851376,0.013759,1
image-5-blob1,25,2.480839,1.148063,617,0.371759,81.467489,0.01738,1
image-5-blob2,26,4.996803,1.368735,593,0.360648,81.926477,0.015622,1
image-5-blob3,27,1.194548,1.089375,557,0.343981,77.996626,0.01423,1
image-5-blob4,28,5.09917,1.224782,525,0.329167,82.372191,0.013906,1
image-5-blob6,29,1.426838,1.831715,185,0.000463,85.845991,0.061552,0
image-5-blob7,30,1.181712,1.610943,186,0,86.175695,0.043296,0
image-6-blob0,31,2.635029,1.187283,939,0.543981,77.772522,0.013169,1
image-6-blob1,32,2.88326,1.073801,851,0.503241,80.722041,0.020619,1
image-6-blob2,33,1.588793,1.012525,831,0.493981,84.027042,0.015949,1
image-6-blob3,34,2.366725,1.141936,805,0.481944,76.997213,0.015891,1
image-6-blob4,35,1.648105,1.59719,827,0.49213,84.144059,0.022041,1
image-6-blob7,36,3.390258,1.05832,721,0.443056,76.804567,0.009417,1
image-6-blob8,37,6.812863,1.36778,704,0.435185,75.521852,0.016895,1
image-6-blob9,38,1.283413,1.031808,699,0.43287,75.217773,0.013036,1
image-6-blob10,39,1.228187,1.050774,725,0.444907,86.034279,0.021036,1
image-6-blob11,40,5.038233,1.376282,735,0.449537,78.825329,0.024625,1
image-6-blob14,41,2.953257,1.03077,664,0.416667,78.216995,0.011759,1
image-6-blob15,42,2.298499,1.070467,659,0.414352,76.807244,0.010813,1
image-6-blob16,43,1.710634,0.974047,637,0.404167,76.914101,0.014565,1
