activity,microseconds
HSV Index,216414
HSV Index,228434
HSV Index,213458
HSV Index,211462
HSV Index,220413
HSV Index,210458
HSV Index,213410
HSV Index,216453
HSV Index,213463
HSV Index,213428
HSV Index,213425
HSV Index,213438
HSV Index,210462
HSV Index,213463
HSV Index,209440
HSV Index,211432
HSV Index,209438
HSV Index,210436
HSV Index,219409
HSV Index,219440
HSV Index,214422
HSV Index,216454
HSV Index,228378
HSV Index,220431
HSV Index,217446
HSV Index,224400
HSV Index,593412
HSV Index,218426
HSV Index,220418
HSV Index,215494
HSV Index,215421
HSV Index,214419
HSV Index,212402
HSV Index,214463
HSV Index,217450
HSV Index,219425
HSV Index,213432
HSV Index,215425
HSV Index,211429
HSV Index,209505
HSV Index,211440
HSV Index,213430
HSV Index,216419
HSV Index,212430
HSV Index,210434
HSV Index,231422
HSV Index,214390
HSV Index,230380
HSV Index,218384
HSV Index,290199
HSV Index,209433
HSV Index,226113
HSV Index,228383
HSV Index,232382
HSV Index,212431
HSV Index,211434
HSV Index,220410
HSV Index,213539
HSV Index,209440
HSV Index,222431
HSV Index,215420
HSV Index,221409
HSV Index,210438
HSV Index,219414
HSV Index,212431
HSV Index,215423
HSV Index,215514
HSV Index,213425
HSV Index,222440
HSV Index,218455
HSV Index,215450
HSV Index,209468
HSV Index,223429
HSV Index,212432
HSV Index,213461
HSV Index,220405
HSV Index,215457
HSV Index,217421
HSV Index,215424
HSV Index,216386
HSV Index,218457
HSV Index,222400
HSV Index,223386
HSV Index,215424
HSV Index,862694
HSV Index,894604
HSV Index,859731
HSV Index,859734
HSV Index,857739
HSV Index,9302
HSV Index,872945
HSV Index,904634
HSV Index,881615
HSV Index,883165
HSV Index,909599
HSV Index,878821
HSV Index,905570
HSV Index,878675
HSV Index,858705
HSV Index,857703
HSV Index,904624
HSV Index,861691
HSV Index,891656
HSV Index,847735
HSV Index,860765
HSV Index,861694
HSV Index,934465
HSV Index,888627
HSV Index,876612
HSV Index,874663
HSV Index,906566
HSV Index,864720
HSV Index,934497
HSV Index,887625
HSV Index,882636
HSV Index,870713
HSV Index,852718
HSV Index,850725
HSV Index,926476
HSV Index,855743
HSV Index,851757
HSV Index,856709
HSV Index,858704
HSV Index,844718
HSV Index,851166
HSV Index,853718
HSV Index,846737
HSV Index,840750
HSV Index,843774
HSV Index,835764
HSV Index,836764
HSV Index,853712
HSV Index,855716
HSV Index,841747
